feature_name,agop_mean_importance,agop_std_importance,agop_max_importance,num_leaves_detected,pca_importance,mi_importance,permutation_importance,rank_agop,rank_pca,rank_mi,rank_permutation,mean_rank,rank_spread
grlivarea,0.2141392724401712,,0.2141392724401712,1,0.07369165869043626,0.44304621477894424,23387.977015976125,1.0,4.0,2.0,1.0,2.0,3.0
yearbuilt,0.1124626676172419,,0.1124626676172419,1,0.07396300467359508,0.32135190628970056,13233.38162148844,2.0,3.0,5.0,2.0,3.0,3.0
totalbsmtsf,0.04222950904675596,,0.04222950904675596,1,0.07569569249676919,0.32460494968758935,4084.7535832401554,8.0,1.0,4.0,5.0,4.5,7.0
overallqual,0.09525869975067361,,0.09525869975067361,1,0.053721774604708485,0.5183916964918338,11521.606777096316,3.0,15.0,1.0,3.0,5.5,14.0
garagecars,0.008591942096033414,,0.008591942096033414,1,0.047920661984703294,0.34145100151555985,754.5568238187421,17.0,19.0,3.0,9.0,12.0,16.0
yearremodadd,0.006011956940908803,,0.006011956940908803,1,0.06259371938228407,0.2628930941495775,383.1967682666676,20.0,11.0,9.0,13.0,13.25,11.0
2ndflrsf,0.006641215493710291,,0.006641215493710291,1,0.06929636651643148,0.21332079907839185,245.9107786587534,19.0,6.0,14.0,14.0,13.25,13.0
bsmtfinsf1,0.011295583127493954,,0.011295583127493954,1,0.07350612247390755,0.10802784029714951,1485.41502542179,16.0,5.0,30.0,6.0,14.25,25.0
lotarea,0.06460921916226778,,0.06460921916226778,1,0.036614145115408295,0.1476188424443623,982.1618159210047,4.0,24.0,23.0,7.0,14.5,20.0
overallcond,0.03810850751983483,,0.03810850751983483,1,0.03886812301524714,0.13067462313158584,4116.503711777433,10.0,22.0,25.0,4.0,15.25,21.0
garagearea,0.001996821092315301,,0.001996821092315301,1,0.04981331451817487,0.3199452186202625,183.44515587223503,29.0,18.0,6.0,17.0,17.5,23.0
mssubclass,0.001967304847579343,,0.001967304847579343,1,0.052332412639940665,0.26653130030328187,128.73962849750242,30.0,16.0,8.0,20.0,18.5,22.0
fireplaces,0.004870002287997533,,0.004870002287997533,1,0.05427764142290732,0.17098038101452961,127.38322985052727,23.0,14.0,20.0,21.0,19.5,9.0
fullbath,0.001126042413285388,,0.001126042413285388,1,0.06517414011468402,0.24371394320504391,52.62856123145175,35.0,9.0,10.0,27.0,20.25,26.0
foundation_PConc,0.0016221546840222698,,0.0016221546840222698,1,0.03008990791289276,0.16507473865821565,31.635714963705688,32.0,28.0,21.0,28.0,27.25,11.0
