feature_name,agop_mean_importance,agop_std_importance,agop_max_importance,num_leaves_detected,pca_importance,mi_importance,permutation_importance,rank_agop,rank_pca,rank_mi,rank_permutation,mean_rank,rank_spread
grlivarea,0.2141392724401712,,0.2141392724401712,1,0.07369165869043626,0.44304621477894424,23387.977015976125,1.0,4.0,2.0,1.0,2.0,3.0
yearbuilt,0.1124626676172419,,0.1124626676172419,1,0.07396300467359508,0.32135190628970056,13233.38162148844,2.0,3.0,5.0,2.0,3.0,3.0
overallqual,0.09525869975067361,,0.09525869975067361,1,0.053721774604708485,0.5183916964918338,11521.606777096316,3.0,15.0,1.0,3.0,5.5,14.0
lotarea,0.06460921916226778,,0.06460921916226778,1,0.036614145115408295,0.1476188424443623,982.1618159210047,4.0,24.0,23.0,7.0,14.5,20.0
neighborhood_Crawfor,0.06110165359353823,,0.06110165359353823,1,0.002678369965880765,0.006594208711850236,783.0835855492485,5.0,146.0,163.0,8.0,80.5,158.0
bsmtexposure_Gd,0.05731339522036079,,0.05731339522036079,1,0.010048465138098666,0.03114258801913672,674.8928082760096,6.0,72.0,77.0,10.0,41.25,71.0
exterior1st_BrkFace,0.05248208128817718,,0.05248208128817718,1,0.0021339607683514084,0.0013501670240396724,522.5515910993411,7.0,162.0,207.0,11.0,96.75,200.0
totalbsmtsf,0.04222950904675596,,0.04222950904675596,1,0.07569569249676919,0.32460494968758935,4084.7535832401554,8.0,1.0,4.0,5.0,4.5,7.0
neighborhood_StoneBr,0.042196613813130994,,0.042196613813130994,1,0.0022261801050819686,0.01090494301440681,-105.72108418708085,9.0,157.0,146.0,280.0,148.0,271.0
overallcond,0.03810850751983483,,0.03810850751983483,1,0.03886812301524714,0.13067462313158584,4116.503711777433,10.0,22.0,25.0,4.0,15.25,21.0
kitchenqual_Ex,0.033324004440040224,,0.033324004440040224,1,0.007725927606495497,0.0861265142872647,235.86540038327,11.0,91.0,37.0,15.0,38.5,80.0
salecondition_Abnorml,0.0308825488548915,,0.0308825488548915,1,0.003068271163293989,0.004594002794645835,88.0525202177254,12.0,138.0,185.0,23.0,89.5,173.0
condition1_Norm,0.024154749238880648,,0.024154749238880648,1,0.00649387591290321,0.02889406096205427,132.420456057891,13.0,96.0,81.0,19.0,52.25,83.0
functional_Typ,0.023406691395792042,,0.023406691395792042,1,0.004522893191841978,0.0,-24.66528654598951,14.0,111.0,252.0,275.0,163.0,261.0
bsmtqual_Ex,0.014264046903800702,,0.014264046903800702,1,0.009996477160999653,0.09294762903870746,-18.59010050607467,15.0,73.0,34.0,274.0,99.0,259.0
bsmtfinsf1,0.011295583127493954,,0.011295583127493954,1,0.07350612247390755,0.10802784029714951,1485.41502542179,16.0,5.0,30.0,6.0,14.25,25.0
